id,text,label,source
43659aed472706cd,Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,2,financial_phrasebank
f41fce1d82f694cc,"Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 .",1,financial_phrasebank
603deba1201d8f4f,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",2,financial_phrasebank
406db019c9d10208,The idea of saving electricity in data transfer is still a new one .,1,financial_phrasebank
9ec65c22e398e546,"Yes. Nick, so thanks for the question. I'll handle sort of your second question first. And then I think, again, sort of Jennifer is sort of better positioned to discuss the sort of revenue per active buyer trends Q2, Q3 this year. So in terms of how we're thinking about the ad spend over the next several quarters, like look, much of the top line impact will primarily be driven by significantly lower digital advertising spend and especially on new buyer acquisition as we address sort of our issues with retention and marketing efficiency and the unit economics around that, which we believe we have a very, very strong and effective plan for.",2,aiera
237572e2e1cdac60,The value of the multi-year agreement is over EUR 2mn a year .,1,financial_phrasebank
31b4b0723edd0c2c,The trade is in accordance with the agreement announced on 26 March 2008 .,1,financial_phrasebank
9bf618668b604f95,"Alongside our stores business, our advertising growth remained strong, up 26% year-over-year, which is primarily driven by our sponsored ads. We've recently added sponsored TV to this offering in the U.S., a self-service solution for brands to create streaming TV campaigns with no minimum spend, putting this advertising within reach of any business. While still early days, streaming TV advertising continues to grow quickly. Brands are using our capabilities to reach engaged viewers on Twitch, Free V, Fire TV and Prime Video shows and movies, which just launched in the U.S. as well as Thursday Night Football.",2,aiera
7f2e5c79b38e92de,The markets expect Heineken to sell Hartwall as a whole or in parts .,1,financial_phrasebank
b3bf41030a1e70d5,The new B shares carry the right to dividend and other shareholder rights with effect from today .,1,financial_phrasebank
9f1a9dd5d2a0fd1d,Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,1,financial_phrasebank
a3dff7c10dc6a3f6,"In this way , the industry 's starting point has been the consumers ' needs .",1,financial_phrasebank
d9d2106208dec7df,Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,2,financial_phrasebank
